Sentence,Label,query_len,num_words_query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords
" at time , company also irons fire location ",0,44,8,0,0,1,0,0,9,0,0,0,0,0,34,0,0,0
" besides coal imports , rhenus midgard also active field wind park logistics , among ventures ",0,94,15,0,0,2,0,0,16,0,0,0,0,0,76,0,0,0
 the coals shimmer black storage yard front embankment ,0,55,8,0,0,0,0,0,9,0,0,0,0,0,46,0,0,0
 here two huge blue stacker reclaimer machines distribute load coals required ,0,78,11,0,0,0,0,0,12,0,0,0,0,0,66,0,0,0
" with movement handling machines , shrill warning noise rings site ",0,67,10,0,0,1,0,0,11,0,0,0,0,0,55,0,0,0
" &quot; the signals purpose security legally prescribed , &quot; said matthias schrell , managing director rhenus midgard wilhelmshaven ",0,136,18,0,0,6,0,0,19,0,0,0,0,0,111,0,1,0
" unfortunately , event unfavourable wind , heard far away - result already number complaints people north town ",0,111,17,0,0,3,0,0,18,0,0,1,0,0,90,0,0,0
 the 40-year-old said taking complaints seriously therefore touch affected ,0,75,9,0,0,2,0,0,10,0,0,2,0,0,61,2,0,0
" in close consultation authorities , position make warning signals quieter means implementation technical measures ",0,115,14,0,0,1,0,0,15,0,0,0,0,0,99,0,0,0
 in future also seek open dialogue neighbours ,0,46,7,0,0,0,0,0,8,0,0,0,0,0,38,0,0,0
 for matthias schrell plans location ,0,37,5,0,0,0,0,0,6,0,0,0,0,0,31,0,1,0
" with construction lower saxony bridge , rhenus midgard continuing focus coal exports power stations one major powers sector europe ",0,132,19,0,0,1,0,0,20,0,0,0,0,0,111,0,0,0
" thanks mooring basin front terminal , sunken depth 18",0,54,9,0,0,1,0,0,9,0,0,0,0,0,42,2,0,0
"5 metres , time possible unload capesize bulk carriers ",0,55,9,0,0,1,0,0,9,0,0,0,0,0,44,1,0,0
" &quot; in terms handling , year hope break 3 million tonne mark , &quot; said schrell ",0,87,16,0,0,6,0,0,17,0,0,0,0,0,63,1,1,0
" alongside local eon power plant , imported coals also go power plants inland ",0,78,13,0,0,1,0,0,14,0,0,0,0,0,63,0,0,0
" when gdf-suez plant added network , around 5 million tonnes coal imports per year realistic ",0,93,15,0,0,2,0,0,16,0,0,1,0,0,74,1,0,0
 the three ship unloaders bridge second transport belt could see rise 10 million ,0,81,13,0,0,0,0,0,14,0,0,0,0,0,65,2,0,0
" anger bali bomb plotter &apos;s sentence survivors relatives 202 people killed 2002 bali bombing reacted anger sentence given last plotters face justice , saying umar patek face firing squad ",0,192,29,0,0,3,0,0,30,0,0,0,0,0,152,7,0,0
" patek , spent almost 10 years run one south-east asia &apos;s wanted , yesterday sentenced 20 years jail role building explosive devices used bombing ",0,151,24,0,0,5,0,0,25,0,0,1,0,0,117,4,0,0
 he could released within 15 years granted parole ,0,50,8,0,0,0,0,0,9,0,0,0,0,0,39,2,0,0
" the 45-year-old found guilty mass murder attack two nightclubs popular tourist area kuta left 202 people dead , including 88 australians , injured scores ",0,155,24,0,0,4,0,0,25,0,0,2,0,0,119,7,0,0
" he also found guilty number terrorism-related charges , including wave bombings churches across indonesia christmas eve 2000 ",0,126,17,0,0,2,0,0,18,0,0,1,0,0,102,4,2,0
" prosecutors demanded life sentence , although could pushed man dubbed &quot; demolition man &quot; reputation master bomb-maker sentenced death ",0,145,19,0,0,6,0,0,20,0,0,1,0,0,119,0,0,0
" the decision reignited painful memories perth mother june corteen , lost 39-year-old twin daughters jane jenny destruction unleashed patek co-conspirators almost decade ago ",0,174,23,0,0,4,0,0,24,0,0,3,0,0,144,2,0,0
" fighting back tears , said patek sentenced death ",0,50,8,0,0,1,0,0,9,0,0,0,0,0,40,0,0,0
 i really feel follow footsteps guys ,0,37,6,0,0,0,0,0,7,0,0,0,0,0,30,0,0,0
" &quot; he put front firing squad , &quot; ms corteen told aap ",0,63,12,0,0,5,0,0,13,0,0,0,0,0,45,0,0,0
" i live every day without seeing grandchildren , daughters ",0,59,9,0,0,1,0,0,10,0,0,0,0,0,48,0,0,0
" the sari club levelled massive bomb loaded van parked outside detonated 11pm october 12 , 2002 ",0,96,16,0,0,1,0,0,17,0,0,0,0,0,70,8,0,0
 peter hughes paddy &apos;s bar suicide bomber detonated backpack loaded explosives 20 seconds earlier ,0,103,14,0,0,2,0,0,15,0,0,0,0,0,84,2,0,0
" he lapsed month-long coma wake bombing , &quot; died &quot; three times life support ",0,86,14,0,0,6,0,0,15,0,0,1,0,0,65,0,0,0
" mr hughes said patek shared fate three members jemaah islamiah terror cell responsible carnage - amrozi , mukhlas imam samudra - executed four years ago ",0,154,25,0,0,3,0,0,26,0,0,2,0,0,125,0,0,0
" really , guy get death penalty anybody ",0,40,7,0,0,1,0,0,8,0,0,0,0,0,31,0,0,0
" to keep alive , well , &apos;s reason keep alive ",0,50,10,0,0,4,0,0,11,0,0,0,0,0,35,0,0,0
" to get 20 years , killing 202 people injuring many hundreds , &apos;s much ",0,76,14,0,0,4,0,0,15,0,0,0,0,0,52,5,0,0
 patek last bali bombers face justice ,0,38,6,0,0,0,0,0,7,0,0,0,0,0,31,0,0,0
" he avoided capture almost decade eventually apprehended january 2011 pakistani town abbottabad , us forces killed former al-qaeda chief osama bin laden less four months later ",0,176,26,0,0,2,0,0,27,0,0,1,0,0,143,4,0,0
" during trial , fbi agent testified intelligence reports revealed patek pakistan meet bin laden effort re-establish links south-east asian terrorist groups al-qaeda ",0,165,22,0,0,4,0,0,23,0,0,3,0,0,138,0,0,0
" &quot; he &apos;t give , &quot; ms corteen said ",0,49,9,0,0,7,0,0,10,0,0,0,0,0,32,0,0,0
" until recently , really &apos;t feel sorry much grief caused people ",0,69,11,0,0,3,0,0,12,0,0,0,0,0,54,0,0,0
" the verdict comes ahead 10th anniversary attack later year , marked ceremonies bali australia ",0,95,14,0,0,1,0,0,15,0,0,0,0,0,77,2,0,0
" &quot; there lot tears year , &quot; ms corteen said ",0,54,10,0,0,5,0,0,11,0,0,0,0,0,38,0,0,0
 patek may yet appeal sentence ,0,31,5,0,0,0,0,0,6,0,0,0,0,0,25,0,0,0
 nothing beats germany property location national international investors ,0,74,8,0,0,0,0,0,9,0,0,0,0,0,65,0,0,0
" the economic situation right , financing options fantastic ",0,60,8,0,0,1,0,0,9,0,0,0,0,0,50,0,0,0
 this message 9th &apos; immobilientag &apos; (property day) organised bã¶rsen zeitung (stock exchange newspaper),0,113,14,0,0,8,0,0,14,0,0,0,0,0,88,1,0,0
" the german property markets benefiting country &apos;s economic strength general conditions , compared rest europe , competitive ",0,130,17,0,0,4,0,0,18,0,0,0,0,0,108,0,0,0
" this pointed christian ulbrich , jones lang lasalle ceo europe , near east africa , 9th &apos; immobilientag &apos; (property day) organised bã¶rsen zeitung (stock exchange newspaper)",0,184,27,0,0,11,0,0,27,0,0,0,0,0,143,1,1,0
" the extent german commercial properties sought evident transaction volumes , said ulbrich ",0,91,12,0,0,1,0,0,13,0,0,0,0,0,77,0,0,0
" in first three quarters year , increase 31% compared period year ",0,66,11,0,0,2,0,0,12,1,0,0,0,0,50,2,0,0
" in great britain , growth stands 6% , france 19% ",0,50,10,0,0,4,0,0,11,2,0,0,0,0,32,3,0,0
" &quot; property investments offer attractive rate return , &quot; said ulbrich ",0,80,11,0,0,5,0,0,12,0,0,0,0,0,63,0,0,0
 the yield gap properties federal government bonds historically high level ,0,75,10,0,0,0,0,0,11,0,0,0,0,0,64,0,0,0
" sayings come bible at least 40 women attended last women &apos;s breakfast year , evangelical parish bisingen ",0,111,17,0,0,3,0,0,18,0,0,0,0,0,88,2,0,0
 the theme day parish hall &quot; sayings bible &quot; &quot; expressions middle ages &quot; ,0,93,14,0,0,8,0,0,15,0,0,0,0,0,70,0,0,0
" zita kã¶hler , chairperson parish council , agreed give talk biblical proverbs breakfast ",0,90,13,0,0,2,0,0,14,0,0,0,0,0,72,0,0,0
" &quot; proverbs contain pearls wisdom , commandments warnings , &quot; explained ",0,82,11,0,0,6,0,0,12,0,0,0,0,0,64,0,0,0
 she compared several german sayings corresponding bible verses explained meaning ,0,82,10,0,0,0,0,0,11,0,0,0,0,0,71,0,0,0
" she referred sayings as: &quot; holzauge sei wachsam &quot; (keep eyes peeled), &quot; wie schuppen von den augen fallen &quot; (like scales falling one &apos;s eyes), &quot; ein auge auf jemand werfen &quot; (to cast eye someone), &quot; den seinen gibt &apos;s der herr im schlaf &quot; (good things come sleep) &quot; seine hã¤nde unschuld waschen &quot; (to wash one &apos;s hands something)",0,396,63,0,0,40,0,0,63,0,0,0,0,0,291,0,0,0
" on several occasions , speaker asked listening guess proverb based ",0,68,10,0,0,1,0,0,11,0,0,0,0,0,56,0,0,0
" expressions middle ages addressed parish councillor christel dehner: &quot; aller guten dinge sind drei &quot; (all good things come threes), &quot; blau machen &quot; (to skip school / work), &quot; etwas verhauen &quot; (to wallop something)",0,244,36,0,0,22,0,0,36,0,0,1,0,0,186,0,1,0
" she explained meaning origin expressions , referred &quot; bridges past &quot; ",0,80,11,0,0,5,0,0,12,0,0,0,0,0,63,0,0,0
 to round morning tombola ,0,26,4,0,0,0,0,0,5,0,0,0,0,0,21,0,0,0
" the prizes placed , covered , table humorously paraphrased prior presented winners ",0,84,12,0,0,2,0,0,13,0,0,0,0,0,69,0,0,0
 mayoral candidate roman waizenegger also found among visitors joint breakfast ,0,79,10,0,0,0,0,0,11,0,0,0,0,0,68,0,0,0
" on last weekend august , vogtsbauernhof black forest open air museum gutach near hornberg firmly hands children ",0,113,17,0,0,1,0,0,18,0,0,0,0,0,94,0,0,0
" traditionally , museum welcomes visitors saturday sunday , year 24 25 august , colourful party children families part summer holiday programme , numerous participation activities events ",0,187,26,0,0,4,0,0,27,0,0,0,0,0,152,4,0,0
" &quot; on days , adults children alike learn various traditional handicrafts , &quot; said press release ",0,106,16,0,0,6,0,0,17,0,0,0,0,0,83,0,0,0
" whether producing soap , turning candles , felting making silk , suitable activity whatever age ",0,97,15,0,0,3,0,0,16,0,0,0,0,0,78,0,0,0
" the children receive help regional artisans , present 11",0,57,9,0,0,1,0,0,9,0,0,0,0,0,45,2,0,0
 5: 00 p,0,8,3,0,0,1,0,0,3,0,0,0,0,0,1,3,0,0
 activities also taking place museum workshop ,0,46,6,0,0,0,0,0,7,0,0,0,0,0,39,0,0,0
" the young guests able demonstrate manual skills building cuckoo pipes , water wheels spinning tops ",0,100,15,0,0,1,0,0,16,0,0,0,0,0,83,0,0,0
" the host old games , wheelbarrow racing walking stilts , promises plenty fun ",0,78,13,0,0,2,0,0,14,0,0,0,0,0,62,0,0,0
 here speed coordination order day ,0,35,5,0,0,0,0,0,6,0,0,0,0,0,29,0,0,1
" for miniature detectives , open air museum offering mystery tour museum saturday sunday , midday 2",0,99,16,0,0,2,0,0,16,0,0,0,0,0,80,1,0,0
 respectively ,0,14,1,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0
" on tour premises , children work stories true made ",0,52,9,0,0,1,0,0,10,0,0,0,0,0,41,0,0,0
" in addition , visitors special opportunity get know open air museum carriage journey drawn black forest chestnut horses ",0,121,18,0,0,1,0,0,19,0,0,0,0,0,101,0,0,0
" it horses found admired grounds , many animals sheep , goats , cows chickens well ",0,83,15,0,0,3,0,0,16,0,0,0,0,0,64,0,0,0
" on sunday children also able enjoy clown , otsch , pranks museum guests 11",0,75,14,0,0,2,0,0,14,0,0,0,0,0,57,2,0,0
" meanwhile , cosy magical alternative provided hermann bã¼ttner ",0,64,8,0,0,1,0,0,9,0,0,0,0,0,52,0,0,0
 the story-teller taking younger guests wonderful world fairytale 11,0,68,9,0,0,1,0,0,9,0,0,1,0,0,56,2,0,0
" , 1: 00 p",0,10,4,0,0,2,0,0,4,0,0,0,0,0,1,3,0,0
 3: 00 p,0,8,3,0,0,1,0,0,3,0,0,0,0,0,1,3,0,0
 the traditional children &apos;s dance group gutach also performing 11: 30 a,0,77,12,0,0,3,0,0,12,0,0,0,0,0,58,4,0,0
" furthermore , event days , 11",0,30,6,0,0,2,0,0,6,0,0,0,0,0,20,2,0,0
 5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
" , numerous artisans broom maker , sewer , spinner , weaver baker letting visitors look shoulders ",0,98,16,0,0,4,0,0,17,0,0,0,0,0,77,0,0,0
" so , visitors open air museum expect varied holiday programme right end summer holidays baden-wuerttemberg ",0,108,15,0,0,2,0,0,16,0,0,1,0,0,90,0,0,0
" an overview milk egg alternatives vegan nutrition promotes vegetable alternatives eggs , milk dairy products ",0,110,15,0,0,1,0,0,16,0,0,0,0,0,93,0,0,0
" mashed tofu plant cream , example , serves substitute quark cheese ",0,68,11,0,0,2,0,0,12,0,0,0,0,0,54,0,0,0
 the vegetarian association provide examples world vegan day 1 november ,0,72,10,0,0,0,0,0,11,0,0,0,0,0,60,1,0,0
" on occasion world vegan day 1 november , vegetarian association germany propose host vegan alternatives: pure plant margarine good alternative butter , yoghurt replaced soya yoghurt ",0,183,26,0,0,3,0,0,27,0,0,0,0,0,152,1,0,0
" soya , oat , almond rice milk used place milk ",0,47,10,0,0,2,0,0,11,0,0,0,0,0,34,0,0,0
 plant whipping cream replace traditional whipping cream ,0,57,7,0,0,0,0,0,8,0,0,0,0,0,49,0,0,0
 there also plant alternatives eggs ,0,36,5,0,0,0,0,0,6,0,0,0,0,0,30,0,0,0
" half mashed , ripe banana , example , replace egg binding agent cake ",0,70,13,0,0,3,0,0,14,0,0,0,0,0,53,0,0,0
 50 grams apple sauce tablespoon ground linseed plus three tablespoons water also suitable ,0,91,13,0,0,0,0,0,14,0,0,0,0,0,75,2,0,0
" a dough becomes fluffy replacing egg mixture one tablespoon baking powder , one tablespoon cornflour three tablespoons mineral water , example ",0,144,21,0,0,2,0,0,22,0,0,0,0,0,120,0,0,0
 50 grams soya yoghurt silken tofu also fulfil purpose ,0,55,9,0,0,0,0,0,10,0,0,0,0,0,43,2,0,0
" according information vegetarian association , around 800,000 germans currently vegan diet , i",0,95,13,0,0,3,0,0,13,0,0,0,0,0,73,6,0,0
 100% vegetable diet ,0,21,3,0,0,1,0,0,4,1,0,0,0,0,13,3,0,0
 john kerry says us spying &quot; reached far inappropriately &quot; unprecedented admission john kerry indicated softening u,0,125,17,0,0,4,0,0,17,0,0,0,0,0,104,0,0,0
s &apos;s defensive stance surveillance programmes unprecedented admission occasions spying &quot; reached far inappropriately ,0,127,14,0,0,4,0,0,14,0,0,0,0,0,109,0,0,0
" &quot; the secretary state also admitted &apos;d guilty , along barack obama , &quot; automatic pilot &quot; incendiary revelations whistleblower edward snowden nsa &apos;s spying activities emerged ",0,200,27,0,0,12,0,0,28,0,0,0,0,0,160,0,0,0
 the leaks put us government centre diplomatic storm allies ,0,60,9,0,0,0,0,0,10,0,0,0,0,0,50,0,0,0
" speaking open government conference london via video link , mr kerry said: &quot; there question president i others government actually learned things happening automatic pilot ability , going back world war two difficult years cold war , , course , 9 / 11 ",0,258,43,0,0,9,0,0,44,0,0,1,0,0,202,3,0,0
 &quot; he became first high-ranking member u,0,45,7,0,0,3,0,0,7,0,0,1,0,0,35,0,0,0
"s government admit us spying crossed line , emphasised one &apos;s rights abused ",0,81,13,0,0,3,0,0,13,0,0,0,0,0,65,0,0,0
" he said: &quot; in cases , reached far inappropriately ",0,56,9,0,0,4,0,0,10,0,0,0,0,0,42,0,0,0
 &quot; and president determined try clarify make clear people thorough review order nobody sense abuse ,0,104,15,0,0,2,0,0,16,0,1,0,0,0,86,0,0,1
 i assure innocent people abused process ,0,41,6,0,0,0,0,0,7,0,0,0,0,0,34,0,0,0
" mr kerry insisted , however , nsa force good surveillance operations saved many lives ",0,87,14,0,0,2,0,0,15,0,0,0,0,0,70,0,0,0
 he added: &quot; we &apos;re dealing new world people willing blow ,0,68,11,0,0,5,0,0,12,0,0,0,0,0,51,0,0,0
 &quot; there radical extremism world hell-bent determined try kill people blow people attack governments ,0,106,14,0,0,3,0,0,15,0,0,1,0,0,88,0,0,0
" so able intercept stop happens ? we actually prevented airplanes going , buildings blown , people assassinated &apos;ve able learn ahead time plans ",0,149,23,0,0,5,0,0,24,0,0,0,0,0,120,0,0,0
" meanwhile , u",0,14,3,0,0,1,0,0,3,0,0,0,0,0,10,0,0,0
 lawmakers head europe help address concerns abroad alleged u,0,61,9,0,0,0,0,0,9,0,0,0,0,0,52,0,0,0
 spying convince europeans need continue joint anti-terrorism efforts u,0,71,9,0,0,1,0,0,9,0,0,1,0,0,61,0,0,0
" , chairman senate subcommittee european affairs said thursday ",0,63,8,0,0,1,0,0,9,0,0,0,0,0,53,0,0,0
 senator chris murphy connecticut said spoke european parliament members others week concerned threats stop participating anti-terrorist organizations frustration surveillance national security agency ,0,201,22,0,0,1,0,0,23,0,0,1,0,0,177,0,1,0
 &quot; it &apos;s really important u,0,37,6,0,0,4,0,0,6,0,0,0,0,0,27,0,0,0
" national security interests europeans stay board us respect mutual anti-terrorism endeavors , &quot; murphy , first-term democrat chairman senate foreign relations subcommittee european affairs , said interview washington ",0,223,28,0,0,7,0,0,29,0,0,2,0,0,187,0,0,0
" and i &apos;m going europe make clear need continue work together combatting terrorism , notwithstanding anger nsa programs ",0,125,18,0,0,3,0,0,19,0,1,0,0,0,103,0,0,0
 news reports nsa swept millions phone records europe frayed relations u,0,72,11,0,0,0,0,0,11,0,0,0,0,0,61,0,0,0
" allies , though agency &apos;s chief said week inaccurate reflected misunderstanding metadata nato allies collected shared united states ",0,138,18,0,0,3,0,0,19,0,0,0,0,0,116,0,0,0
 other revelations cited documents leaked snowden nsa monitored german chancellor angela merkel &apos;s cellphone 34 world leaders ,0,131,17,0,0,2,0,0,18,0,0,0,0,0,109,2,0,0
" the national intelligence director , james clapper , defended spying allies necessary said &apos;s commonplace sides ",0,118,16,0,0,4,0,0,17,0,0,0,0,0,97,0,0,0
" amid uproar , murphy said office arranging congressional trip , expected take place year , hopes delegation include members parties chambers ",0,142,21,0,0,3,0,0,22,0,0,0,0,0,117,0,0,0
 names participating lawmakers released coming days ,0,52,6,0,0,0,0,0,7,0,0,0,0,0,45,0,0,0
 he said itinerary still worked ,0,32,5,0,0,0,0,0,6,0,0,0,0,0,26,0,0,0
" while murphy said purpose trip help improve relationships , said &quot; tough love &quot; also dispensed ",0,106,16,0,0,5,0,0,17,0,0,0,0,0,84,0,0,0
 he said european leaders need honest people kind espionage programs &apos;ve used years ,0,89,13,0,0,2,0,0,14,0,0,0,0,0,73,0,0,0
" &quot; while amend surveillance programs better protect rights europeans , also need come terms fact &apos;re ones spying , &quot; murphy said ",0,144,22,0,0,8,0,0,23,0,0,0,0,0,113,0,0,0
" meanwhile , mr kerry scheduled head weekend middle east poland address rancor u",0,80,13,0,0,1,0,0,13,0,0,0,0,0,66,0,0,0
" strategies syria , egypt iran well u",0,37,7,0,0,1,0,0,7,0,0,0,0,0,29,0,0,0
 surveillance activities ,0,25,2,0,0,0,0,0,3,0,0,0,0,0,22,0,0,0
" union spd continued coalition negotiations , addressing topics internal affairs justice ",0,89,11,0,0,1,0,0,12,0,0,0,0,0,76,0,0,0
" to end , competent working group met morning ",0,46,8,0,0,1,0,0,9,0,0,0,0,0,36,0,0,0
" among issues , topics discussed included direct democracy , bribery mps federal police ",0,88,13,0,0,2,0,0,14,0,0,0,0,0,72,0,0,0
" during morning , migration integration working group also sought continue discussions ",0,87,11,0,0,1,0,0,12,0,0,0,0,0,74,0,0,0
" among issues addressed dual nationality , regard sides opposing ideas ",0,71,10,0,0,1,0,0,11,0,0,0,0,0,59,0,0,0
 the spd would like put end pressure placed immigrant children decide one nationality - union rejects notion dual passport ,0,123,19,0,0,1,0,0,20,0,0,1,0,0,102,0,0,0
" regarding subject traffic , agenda friday , spd substantiated opposition car toll charge promoted csu ",0,103,15,0,0,2,0,0,16,0,0,0,0,0,85,0,1,0
" a toll road sticker would amount &quot; flat rate fee frequent drivers would thus environmentally counterproductive , &quot; explained spd negotiator issues relating traffic , florian pronold , letter parliamentary group ",0,222,31,0,0,7,0,0,32,0,0,0,0,0,183,0,0,0
" there would threat diverted traffic country roads , already accident hotspots ",0,79,11,0,0,1,0,0,12,0,0,0,0,0,66,0,0,0
" the introduction toll cars would also first step , pronold &apos;s eyes ",0,73,12,0,0,3,0,0,13,0,0,0,0,0,57,0,0,0
" &quot; there risk compensation germans would abolished later point time , &quot; said ",0,87,13,0,0,5,0,0,14,0,0,0,0,0,68,0,0,0
 mick jagger says never hit katy perry 18 ,0,42,8,0,0,0,0,0,9,0,0,0,0,0,31,2,0,0
" during interview australian radio show week , pop star said sang backing vocals jagger &apos;s 2004 song &quot; old habits die hard ",0,133,22,0,0,5,0,0,23,0,0,0,0,0,101,4,0,0
 &quot; perry said dinner veteran rocker &quot; hit i 18 ,0,57,10,0,0,4,0,0,11,0,0,0,0,0,40,2,0,0
" &quot; she added , &quot; that long time ago , &apos;s kind ",0,61,12,0,0,8,0,0,13,0,0,0,0,0,40,0,0,0
" &quot; in statement thursday , representative jagger , 70 , says &quot; categorically denies ever made pass katy perry ",0,120,19,0,0,7,0,0,20,0,0,0,0,0,91,2,0,0
 &quot; the rep adds: &quot; perhaps confusing someone else ,0,60,9,0,0,5,0,0,10,0,0,0,0,0,45,0,0,0
 &quot; perry one singers make guest appearance rolling stones &apos; tour year ,0,80,12,0,0,4,0,0,13,0,0,0,0,0,63,0,0,0
" her new album , &quot; prism , &quot; debuted no",0,49,10,0,0,6,0,0,10,0,0,0,0,0,33,0,0,0
 1 week ,0,8,2,0,0,0,0,0,3,0,0,0,0,0,4,1,0,0
" konstanz: cyclist knocks 63-year-old man according police , accident occurred thursday evening around 10: 00 p",0,111,16,0,0,5,0,0,16,0,0,2,0,0,84,6,0,0
" , 26-year-old man cycling illegally , left footpath bahnhofplatz direction marktstã¤tte , ladies bicycle ",0,106,14,0,0,5,0,0,15,0,0,2,0,0,82,2,0,0
" according police , 63-year-old man suddenly stepped pub onto footpath , cyclist unable brake time ",0,99,15,0,0,4,0,0,16,0,0,2,0,0,77,2,0,0
" during subsequent collision , pedestrian thrown wall building , fell onto ground , suffering laceration head measured around 15 centimetres length ",0,148,21,0,0,3,0,0,22,0,0,0,0,0,121,2,0,0
 an ambulance team brought injured man clinic medical treatment ,0,64,9,0,0,0,0,0,10,0,0,0,0,0,54,0,0,0
 oil extends drop toward $ 96 barrel the price oil continued fall friday concerns high supplies offset report showing china &apos;s power-hungry manufacturing sector strengthening ,0,180,25,0,0,4,0,0,26,0,0,1,0,0,148,2,0,0
 benchmark u,0,12,2,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0
 crude december delivery 14 cents $ 96,0,38,7,0,0,1,0,0,7,0,0,0,0,0,26,4,0,0
24 barrel late morning europe electronic trading new york mercantile exchange ,0,78,11,0,0,0,0,0,11,0,0,0,0,0,65,2,0,0
" the contract fell 39 cents thursday , leaving 5",0,48,9,0,0,1,0,0,9,0,0,0,0,0,35,3,0,0
8 percent month october ,0,24,4,0,0,0,0,0,4,0,0,0,0,0,19,1,0,0
 ample supplies crude weighed price recent weeks ,0,49,7,0,0,0,0,0,8,0,0,0,0,0,41,0,0,0
 the energy department said wednesday u,0,39,6,0,0,0,0,0,6,0,0,0,0,0,33,0,0,0
 supplies increased 4,0,21,3,0,0,0,0,0,3,0,0,0,0,0,17,1,0,0
1 million barrels last week ,0,28,5,0,0,0,0,0,5,0,0,0,0,0,22,1,0,0
" over five weeks , supplies risen 25 million barrels ",0,53,9,0,0,1,0,0,10,0,0,0,0,0,40,2,0,0
 but suggestion stronger demand came friday two reports chinese manufacturing showed uptick activity ,0,101,13,0,0,0,0,0,14,0,0,0,0,0,87,0,0,0
 that suggests china &apos;s economic recovery could continue strengthen growth rebounded 7,0,91,12,0,0,2,0,0,12,0,0,0,0,0,76,1,0,0
8 percent third quarter two-decade low previous quarter ,0,56,8,0,0,1,0,0,8,0,0,1,0,0,46,1,0,0
" brent crude , benchmark international crude also used u",0,56,9,0,0,1,0,0,9,0,0,0,0,0,46,0,0,0
" refineries , fell 26 cents $ 108",0,33,7,0,0,2,0,0,7,0,0,0,0,0,19,5,0,0
58 barrel ice exchange london ,0,30,5,0,0,0,0,0,5,0,0,0,0,0,23,2,0,0
" lã¶ffingen: kã¶pfler still candidate information online: although lã¶ffingen , small town baar , 7,514 residents , described intact infrastructure , forward-looking school , youth senior citizens policies municipal energy companies , thus far no-one registered second mayoral candidate ",0,287,38,0,0,11,0,0,39,0,0,2,0,0,227,4,0,0
" so far , candidate succeed mayor norbert brugger , longer running account age , 46-year-old banker business economist dieter kã¶pfler lã¶ffingen ",0,146,21,0,0,5,0,0,22,0,0,2,0,0,113,2,0,0
" the deadline applications monday 11 november , 6: 00 p",0,55,10,0,0,2,0,0,10,0,0,0,0,0,38,5,0,0
 new anti-nicotine vaccine could take pleasure smoking scientists developed anti-nicotine vaccine could take pleasure smoking cigarette ,0,136,16,0,0,2,0,0,17,0,0,2,0,0,117,0,0,0
 a single dose vaccine able protect mice nicotine addiction life ,0,65,10,0,0,0,0,0,11,0,0,0,0,0,54,0,0,0
" further tests needed starting human trials , would take several years , professor ronald crystal weill cornell medical college new york said early signs good ",0,159,25,0,0,2,0,0,26,0,0,0,0,0,131,0,0,0
" &quot; we hopeful kind vaccine strategy finally help millions smokers tried stop , exhausting methods market today , find nicotine addiction strong enough overcome current approaches , &quot; prof cornell said ",0,211,31,0,0,7,0,0,32,0,0,0,0,0,172,0,0,0
 the new vaccine contains harmless virus engineered carry genetic information make anti-nicotine antibodies ,0,108,13,0,0,1,0,0,14,0,0,1,0,0,93,0,0,0
" the virus selectively infects liver cells , start make steady stream antibodies ",0,81,12,0,0,1,0,0,13,0,0,0,0,0,67,0,0,0
" the antibodies hunt nicotine molecules bloodstream , neutralising reached brain , preventing smoker getting nicotine hit ",0,122,16,0,0,2,0,0,17,0,0,0,0,0,103,0,0,0
" in tests , vaccinated mice subsequently given nicotine continued normal activity ",0,82,11,0,0,1,0,0,12,0,0,0,0,0,69,0,0,0
" but mice given vaccine &quot; chilled , &quot; say researchers , sign nicotine reached brains ",0,95,15,0,0,6,0,0,16,0,0,0,0,0,73,0,0,0
 the experiments described journal science translational medicine ,0,66,7,0,0,0,0,0,8,0,0,0,0,0,58,0,0,0
 previous tobacco vaccines failed contained antibodies ,0,55,6,0,0,0,0,0,7,0,0,0,0,0,48,0,0,0
 the jabs given frequently keep antibody levels topped proved expensive impractical ,0,84,11,0,0,0,0,0,12,0,0,0,0,0,72,0,0,0
" but cost new vaccine likely far lower , turns liver cells antibody factories ",0,78,13,0,0,1,0,0,14,0,0,0,0,0,63,0,0,0
" prof crystal said future human vaccine completely safe could given children tempted try cigarette , preventing nicotine addiction ",0,131,18,0,0,1,0,0,19,0,0,0,0,0,111,0,0,0
 but likely would used smokers quit ,0,36,6,0,0,0,0,0,7,0,0,0,0,0,29,0,0,0
" &quot; they know start smoking , receive pleasure due nicotine vaccine , help kick habit , &quot; said ",0,104,18,0,0,7,0,0,19,0,0,0,0,0,78,0,0,0
 british scientists said results interesting warned far research needed ,0,72,9,0,0,0,0,0,10,0,0,0,0,0,62,0,0,0
 egypt swears first freely elected president mohamed morsi takes oath office day triumph unlikely mark end political strife egypt ,0,130,19,0,0,0,0,0,20,0,0,0,0,0,110,0,0,0
" islamist mohamed morsi promised &quot; new egypt &quot; took oath office become country &apos;s first freely elected president , succeeding hosni mubarak ousted 16 months ago ",0,176,26,0,0,7,0,0,27,0,0,0,0,0,140,2,0,0
" at inauguration supreme constitutional court , morsi also became arab world &apos;s first freely elected islamist president egypt &apos;s fifth head state since overthrow monarchy 60 years ago ",0,194,28,0,0,5,0,0,29,0,0,0,0,0,158,2,0,0
